Company;Name;Ref;Review Date;Cocoa_Percent;Company_Location;Rating;Broad_Bean_Origin;Bean_Type
Durci;Carenero, Empyrean Sabor;1630;2015;70;U.S.A.;3.25;Venezuela;Trinitario
El Rey;Carenero Superior, Mijao;206;2008;61;Venezuela;3.0;Venezuela;Criollo
Fresco;Maranon, #227, LR, MC;1383;2014;70;U.S.A.;3.5;Peru;Forastero (Nacional)
Friis Holm (Bonnat);La Dalia;1680;2015;85;Denmark;3.25;Nicaragua;
Friis Holm (Bonnat);Red Mayan, Xoco;899;2012;70;Denmark;3.25;Honduras;Criollo, Trinitario
Friis Holm (Bonnat);Johe, Xoco;623;2011;70;Denmark;3.25;Nicaragua;Criollo, Trinitario
Hogarth;Gran Blanco;1712;2016;66;New Zealand;3.5;Peru;Criollo
Hoja Verde (Tulicorp);Arriba;414;2009;72;Ecuador;3.0;Ecuador;Forastero (Arriba) ASS
Hotel Chocolat (Coppeneur);Chuao;600;2010;70;U.K.;2.75;Venezuela;Trinitario
Kallari (Ecuatoriana);Diego 60hr/ W.F. blend prototype;248;2008;85;Ecuador;3.0;Ecuador;
Kyya;Madagascar;1363;2014;72;U.S.A.;3.0;Madagascar;Trinitario
Madre;Dominican;672;2011;70;U.S.A.;2.5;Dominican Republic;
Manifesto Cacao;Colombia;1331;2014;70;Colombia;2.75;Colombia;
Manufaktura Czekolady;Peru;1848;2016;70;Poland;3.5;Peru;
Manufaktura Czekolady;Porcelana;1255;2014;70;Poland;3.75;Venezuela;Criollo
Marsatta;Dominican Republic;1189;2013;89;U.S.A.;2.5;Dominican Republic;
Mesocacao;El Salvador;1494;2015;80;Honduras;2.75;El Salvador;
Palette de Bine;San Juan Estate, Gran Couva;1570;2015;70;Canada;3.25;Trinidad;Trinitario
Pierre Marcolini;Baracoa, Cuba;516;2010;78;Belgium;3.75;Cuba;Criollo, Forastero
Pitch Dark;Namau Village;1315;2014;73;U.S.A.;2.5;Fiji;Trinitario
Potomac;Cuyagua, 2013;1387;2014;70;U.S.A.;3.75;Venezuela;
Potomac;Bahia;789;2011;70;U.S.A.;3.5;Brazil;
Pralus;Jamaique;32;2006;75;France;4.0;Jamaica;Trinitario
Ritual;Maranon, Cajamarca;1181;2013;75;U.S.A.;3.0;Peru;Forastero (Nacional)
Salgado;Esmeraldas;288;2008;70;Argentina;3.5;Ecuador;Forastero (Nacional)
Scharffen Berger;Nibby;135;2007;62;U.S.A.;3.0;;
Sibu;Oro;1586;2015;82;Costa Rica;3.25;Costa Rica;
Sirene;Somia Plantation, 2012;1339;2014;67;Canada;3.75;Madagascar;Trinitario
Smooth Chocolator, The;Camino Verde;1622;2015;72;Australia;4.0;Ecuador;
Smooth Chocolator, The;Akesson's Estate;1618;2015;65;Australia;3.25;Madagascar;Trinitario
Solstice;Wasatch;1161;2013;70;U.S.A.;3.5;;Blend
Soma;Sangre Grande P., Trinidad;1073;2013;70;Canada;3.75;Trinidad;Trinitario
Soma;Noula Coop;817;2012;70;Canada;3.25;Haiti;
Stella (aka Bernrain);India;729;2011;72;Switzerland;3.25;India;
Stone Grindz;Ecuador, Twilght Dark;1291;2014;70;U.S.A.;3.5;Ecuador;
Szanto Tibor;Porcelana;1263;2014;70;Hungary;3.5;Venezuela;Criollo
Tejas;Presidio;805;2012;70;U.S.A.;3.5;Dominican Republic;
Terroir;Oko Caribe;1554;2015;70;U.S.A.;3.5;Domincan Republic;
Undone;Matagalpa;1438;2014;74;U.S.A.;2.75;Nicaragua;
Valrhona;Le Noir Extra Amer;147;2007;85;France;1.5;;
Valrhona;Caraibe;63;2006;66;France;3.0;Carribean;Trinitario
Willie's Cacao;Java, Indonesian Black;1109;2013;100;U.K.;2.25;Indonesia;
Woodblock;Costa Rica;825;2012;70;U.S.A.;3.0;Costa Rica;
A. Morin;Carenero;1315;2014;70;France;2.75;Venezuela;Criollo
A. Morin;Birmanie;1015;2013;70;France;3.0;Burma;
A. Morin;Chanchamayo Province;1019;2013;70;France;3.5;Peru;
Altus aka Cao Artisan;Conacado;1125;2013;60;U.S.A.;3.0;Dominican Republic;Trinitario
Amedei;Ecuador;123;2007;70;Italy;3.0;Ecuador;Trinitario
Artisan du Chocolat;Colombia, Casa Luker;947;2012;72;U.K.;3.75;Colombia;
Bahen & Co.;Houseblend;999;2012;70;Australia;2.5;;Blend
Bar Au Chocolat;Maranon Canyon;1295;2014;70;U.S.A.;4.0;Peru;Forastero (Nacional)
Bittersweet Origins;Ghana;963;2012;72;U.S.A.;3.5;Ghana;Forastero
Cacao Prieto;Criollo, Dominican Republic;991;2012;72;U.S.A.;3.75;Dominican Republic;Criollo
Cacao Sampaka;Venezuela;537;2010;77;Spain;3.5;Venezuela;
Callebaut;Grenade;296;2008;60;Belgium;2.75;Grenada;Trinitario
C-Amaro;Dominican Republic;1442;2014;72;Italy;3.0;Dominican Republic;
Choklat;Ocumare;377;2009;70;Canada;3.0;Venezuela;Criollo
Coppeneur;Ecuador Puristique;817;2012;100;Germany;1.5;Ecuador;
Dandelion;Dominican Republic;654;2011;70;U.S.A.;3.25;Dominican Republic;
Dean and Deluca (Belcolade);Papua New Guinea;180;2007;64;U.S.A.;3.0;Papua New Guinea;
Ethel's Artisan (Mars);Porcelana;666;2011;70;U.S.A.;2.5;Venezuela;Criollo (Porcelana)
Fresco;Jamaica, #205, DR, MC;370;2009;70;U.S.A.;3.25;Jamaica;Trinitario
Fruition;La Red;1046;2013;70;U.S.A.;3.75;Dominican Republic;
Habitual;Campesino w/ nibs;1197;2014;74;Canada;2.75;;
Hachez;Arriba;166;2007;77;Germany;2.5;Ecuador;Forastero (Arriba)
Hotel Chocolat (Coppeneur);Tanzania;296;2008;75;U.K.;2.75;Tanzania;
Kto;San Martin;1422;2014;72;U.S.A.;2.5;Peru;
L.A. Burdick (Felchlin);Bolivian;451;2009;68;U.S.A.;3.0;Bolivia;
La Maison du Chocolat (Valrhona);Grenada;741;2011;68;France;3.5;Grenada;Trinitario
La Maison du Chocolat (Valrhona);Kuruba;439;2009;60;France;3.0;;
Laia aka Chat-Noir;Madagascar, Batch 59/100;1590;2015;75;France;2.75;Madagascar;Trinitario
Lillie Belle;La Selva;903;2012;68;U.S.A.;3.75;Peru;
Lonohana;Opaeula Estate, O'ahu, Nene, CG Exclusive;1093;2013;71;U.S.A.;3.0;Hawaii;
Machu Picchu Trading Co.;Peru;721;2011;70;Peru;1.5;Peru;
Manoa;Markham Valley;1522;2015;72;U.S.A.;3.5;Papua New Guinea;
Manoa;Liberia, #174;1003;2012;72;U.S.A.;3.25;Liberia;
Marou;Tien Giang, Gao Co-op;845;2012;70;Vietnam;3.5;Vietnam;Trinitario
Marou;Tien Giang;895;2012;80;Vietnam;3.0;Vietnam;Trinitario
Mast Brothers;Guatemala;1450;2015;76;U.S.A.;3.0;Guatemala;
Middlebury;Balinese, Java;887;2012;70;U.S.A.;2.5;Indonesia;Criollo
Mindo;Ecuador;607;2010;67;U.S.A.;2.75;Ecuador;
Muchomas (Mesocacao);Nicaragua;1462;2015;80;U.S.A.;3.5;Nicaragua;
Naive;Trinidad & Tobago;1046;2013;70;Lithuania;3.75;Trinidad, Tobago;
Nathan Miller;Hispaniola;1403;2014;70;U.S.A.;2.5;Dominican Republic;
Olive and Sinclair;Ghana prototype;486;2010;72;U.S.A.;3.0;Ghana;Forastero
Pacari;Garaua;1415;2014;70;Ecuador;3.25;Ecuador;
Pacari;Raw;266;2008;100;Ecuador;2.0;Ecuador;Forastero (Arriba)
Pralus;Papouasie;199;2008;75;France;3.0;Papua New Guinea;Trinitario
Q Chocolate;Brazil;1057;2013;75;Brazil;3.25;Brazil;
Raaka;Virunga;1708;2015;75;U.S.A.;2.75;Congo;Forastero
Robert (aka Chocolaterie Robert);Madagascar w/ nibs;1061;2013;68;Madagascar;3.25;Madagascar;Trinitario
Rozsavolgyi;Principe;765;2011;77;Hungary;2.75;Principe;Forastero
Rozsavolgyi;Porcelana;717;2011;71;Hungary;2.5;Venezuela;
Scharffen Berger;Extra Dark;15;2006;82;U.S.A.;2.0;;
Soma;Camino Verde P., Balao, Guayas;1307;2014;80;Canada;3.5;Ecuador;Forastero (Nacional)
Soma;Equator;1081;2013;67;Canada;4.0;Peru, Dom. Rep;
Tejas;Capistrano;821;2012;70;U.S.A.;2.0;Peru;
To'ak (Ecuatoriana);Manabi;1418;2014;81;Ecuador;3.25;Ecuador;Forastero (Nacional)
Undone;Nourish;1438;2014;70;U.S.A.;3.0;Dominican Republic;
Wilkie's Organic;Tumbes;1169;2013;75;Ireland;3.25;Peru;Criollo
Woodblock;La Red;769;2011;70;U.S.A.;3.5;Dominican Republic;
Zotter;Bocas del Toro, Cocabo Co-op;801;2012;72;Austria;3.5;Panama;
Altus aka Cao Artisan;CIAAB Coop;1732;2016;60;U.S.A.;2.5;Bolivia;
Amano;Montanya;363;2009;70;U.S.A.;3.0;Venezuela;
Amedei;Porcelana;111;2007;70;Italy;4.0;Venezuela;Criollo (Porcelana)
Amedei;Toscano Black;170;2007;63;Italy;3.5;;Blend
AMMA;Monte Alegre, 3 diff. plantations;572;2010;50;Brazil;3.75;Brazil;Forastero (Parazinho)
Animas;Alto Beni;1852;2016;75;U.S.A.;3.5;Bolivia;
Bahen & Co.;Sambirano;995;2012;70;Australia;3.0;Madagascar;Trinitario
Belyzium;Belize south;1768;2016;78;Germany;3.0;Belize;Trinitario
Bonnat;Maragnam;1038;2013;75;France;3.5;Brazil;
Bonnat;Ocumare, Puerto Cabello;32;2006;75;France;4.0;Venezuela;
Cacao Atlanta;Tumbes;1215;2014;75;U.S.A.;2.5;Peru;Criollo
Cacao de Origen;"Macuare; Miranda; Chloe formula";1391;2014;74;Venezuela;3.25;Venezuela;
Cacao Prieto;Dominican Republic, rustic;647;2011;65;U.S.A.;3.25;Dominican Republic;
C-Amaro;Cuba;1442;2014;75;Italy;2.5;Cuba;
Cello;Peru;1247;2014;70;U.S.A.;2.75;Peru;
Claudio Corallo;Terreiro Velho P. w/ sugar crystals;209;2008;80;Sao Tome;3.0;Sao Tome & Principe;Forastero
Coppeneur;Chuao 100hr;451;2009;70;Germany;3.5;Venezuela;Criollo, Trinitario
Doble & Bignall;Panama, Raven;1371;2014;72;U.K.;3.25;Panama;
Domori;Teyuna;272;2008;70;Italy;3.0;Colombia;
Dormouse;Madagascar, Batch 8;1676;2015;77;U.K.;2.75;Madagascar;Criollo, Trinitario
Duffy's;Chuno, Xoco;1331;2014;70;U.K.;3.5;Nicaragua;Criollo
Eau de Rose;Arauca;1812;2016;70;Canada;3.25;Colombia;
Frederic Blondeel;Peru Brutus;1538;2015;75;Belgium;3.5;Peru;
French Broad;San Andres;1209;2014;80;U.S.A.;3.0;Costa Rica;
Fresco;Maranon, #229, MR, LC;1383;2014;70;U.S.A.;3.5;Peru;Forastero (Nacional)
Fresco;Jamaica, #204, DR, SC;370;2009;80;U.S.A.;2.75;Jamaica;Trinitario
Friis Holm (Bonnat);Chuno, Xoco;623;2011;70;Denmark;3.5;Nicaragua;Criollo, Trinitario
Fruition;Coto Brus, Heirloom, Batch 1;1780;2016;74;U.S.A.;4.0;Costa Rica;Amazon mix
Fruition;Maranon;1359;2014;76;U.S.A.;3.0;Peru;Forastero (Nacional)
Georgia Ramon;ABOCFA Coop;1642;2015;70;Germany;4.0;Ghana;Forastero
Green & Black's (ICAM);Dark;15;2006;70;U.K.;2.5;;
Habitual;Dominican Republic;1197;2014;75;Canada;3.25;Dominican Republic;
Habitual;Trinitario;1197;2014;70;Canada;3.5;;Trinitario
Heirloom Cacao Preservation (Fruition);Cota Brus, Terciopelo, 2015;1748;2016;74;U.S.A.;3.5;Costa Rica;Amazon mix
Heirloom Cacao Preservation (Millcreek);Los Rios, Hacienda Limon, Orecao, 2015;1744;2016;70;U.S.A.;3.5;Ecuador;EET
Heirloom Cacao Preservation (Mindo);Pinchincha, Mindo, Coop Nueva Esper., 2015;1748;2016;77;U.S.A.;3.5;Ecuador;EET
Hummingbird;Bolivia, Bo-nib-ia, w/ nibs;1311;2014;70;Canada;3.0;Bolivia;Criollo, Trinitario
Idilio (Felchlin);Sur del Lago, Amiari Meridena, Zulia, w/ nibs;737;2011;72;Switzerland;4.0;Venezuela;
Isidro;Belize;1279;2014;72;U.S.A.;3.25;Belize;Trinitario
Kallari (Ecuatoriana);Diego 48hr/ W.F. blend prototype;248;2008;85;Ecuador;2.75;Ecuador;
K'ul;Los Rios, Hacienda Limon, Heirloom;1852;2016;70;U.S.A.;3.75;Ecuador;
La Maison du Chocolat (Valrhona);Tobago;1145;2013;60;France;3.25;Tobago;
Letterpress;San Juan Estate, Gran Couva;1562;2015;70;U.S.A.;3.5;Trinidad;Trinitario
Malagasy (Chocolaterie Robert);Sambirano 2006;184;2007;75;Madagascar;2.75;Madagascar;Trinitario
Manoa;Waiahole, O'ahu;1089;2013;72;U.S.A.;3.75;Hawaii;
Map Chocolate;Ecuador;1478;2015;70;U.S.A.;3.5;Ecuador;Trinitario
Maverick;Elvesia;1367;2014;70;U.S.A.;3.25;Dominican Republic;
Michel Cluizel;Mangaro P.;24;2006;65;France;4.0;Madagascar;Trinitario
Michel Cluizel;Noir Infini;81;2006;99;France;2.0;;
Middlebury;San Juan Estate;1490;2015;70;U.S.A.;3.5;Trinidad;Trinitario
Monsieur Truffe;Papaua New Guinea;1391;2014;70;Australia;3.25;Papua New Guinea;
Palette de Bine;Lam Dong;1574;2015;72;Canada;3.75;Vietnam;Trinitario
Pralus;Monte Alegre, Diego Badero;280;2008;75;France;3.5;Brazil;
Rain Republic;Suchitepequez E.;470;2010;70;Guatemala;2.75;Guatemala;
Roasting Masters;La Dorado, light roast;1844;2016;70;South Korea;3.25;Costa Rica;
Rogue;Bachelor's Hall E., St. Thomas Parish;1193;2013;75;U.S.A.;3.75;Jamaica;Trinitario
Scharffen Berger;Amina;464;2010;65;U.S.A.;3.75;Madagascar;Trinitario, Criollo
Scharffen Berger;Tome Acu;336;2009;68;U.S.A.;3.75;Brazil;
Scharffen Berger;Finisterra;227;2008;72;U.S.A.;3.0;Ven., Trinidad, Mad.;Blend
Shark Mountain;Papua New Guinea;1450;2015;73;U.S.A.;3.5;Papua New Guinea;Forastero
Shark's;Hilo;713;2011;73;U.S.A.;2.0;Hawaii;
Sirene;Kokoa Kamili Coop;1856;2016;73;Canada;3.5;Tanzania;
Soma;Rizek Cacao, Domin. Rep.;1019;2013;77;Canada;3.75;Dominican Republic;Trinitario
Sublime Origins;Moho Valley;1157;2013;78;U.S.A.;3.25;Belize;Trinitario
TCHO;Peru- Ecuador;915;2012;99;U.S.A.;3.25;Peru, Ecuador;
Terroir;Guatemala;1558;2015;70;U.S.A.;3.75;Guatemala;Trinitario
Theo;"Venezuela; Barinos, Merida, Tachron";188;2007;91;U.S.A.;2.0;Venezuela;Blend
twenty-four blackbirds;Palos Blancos;1026;2013;75;U.S.A.;2.5;Bolivia;
Valrhona;Otucan, Grand Cru;931;2012;69;France;4.0;Venezuela;
Vanleer (Barry Callebaut);Napa;963;2012;65;U.S.A.;2.75;Ghana;Forastero
Videri;Mindo;1227;2014;75;U.S.A.;3.5;Ecuador;
Zak's;House Blend, Batch 2;1582;2015;60;U.S.A.;3.0;;
Zotter;Indianer, Raw;883;2012;58;Austria;3.5;;
A. Morin;Pablino;1319;2014;70;France;4.0;Peru;
Amano;Dos Rios;470;2010;70;U.S.A.;3.75;Dominican Republic;
Beschle (Felchlin);Madagascar;636;2011;64;Switzerland;3.0;Madagascar;Trinitario
Bisou;Belize;1486;2015;86;U.S.A.;3.25;Belize;Trinitario
Bisou;San Andres, American style;1486;2015;76;U.S.A.;2.5;Costa Rica;
Bittersweet Origins;Puerto Plata;414;2009;65;U.S.A.;3.5;Dominican Republic;
Brasstown aka It's Chocolate;Camino Verde, Guayas;1125;2013;70;U.S.A.;3.25;Ecuador;
Bright;Camino Verde, Balao, Guayas;1231;2014;72;Australia;3.5;Ecuador;
Choco Del Sol;Maya Mountain w/ nibs;1407;2014;75;Germany;3.0;Belize;Trinitario
Choco Dong;Mekong Delta, early 2014 Harvest;1696;2015;70;South Korea;2.75;Vietnam;Trinitario
Chocolarder;Peru;1482;2015;65;U.K.;2.5;Peru;Criollo
Chuao Chocolatier (Pralus);Chuao;486;2010;77;U.S.A.;2.75;Venezuela;Trinitario
Damson;Los Rios;1610;2015;70;U.K.;3.5;Ecuador;
Dark Forest;Madagascar;1550;2015;70;U.S.A.;3.0;Madagascar;Trinitario
Dark Forest;Ocumare;1550;2015;70;U.S.A.;3.25;Venezuela;
De Mendes;Nativo, Varzea;1462;2015;72;Brazil;3.5;Brazil;
De Villiers;Sambirano Valley, batch 2477;1832;2016;70;South Africa;3.0;Madagascar;
Domori;Guasare;863;2012;70;Italy;3.75;Venezuela;
Domori;Blend No. 1;272;2008;78;Italy;3.5;;Blend
El Rey;Rio Caribe, Macuro;439;2009;70;Venezuela;3.0;Venezuela;Trinitario
Escazu;Carenero, Guapiles, Ocumare blend;431;2009;74;U.S.A.;2.75;Cost Rica, Ven;
Escazu;Guapiles;414;2009;65;U.S.A.;2.0;Costa Rica;
Forteza (Cortes);Dominican Republic;1776;2016;70;Puerto Rico;2.75;Domincan Republic;
Franceschi;Sur del Lago;915;2012;60;Venezuela;3.5;Venezuela;
Fresco;Markham Valley, #219, LR, MC;899;2012;69;U.S.A.;3.5;Papua New Guinea;
Heirloom Cacao Preservation (Brasstown);Maya Mtn, Moho R., Toledo D., 2015;1748;2016;70;U.S.A.;3.25;Belize;Amazon
hexx;Peru;1550;2015;70;U.S.A.;3.25;Peru;
Hogarth;Akesson's Estate;1712;2016;70;New Zealand;2.75;Madagascar;Trinitario
Hotel Chocolat (Coppeneur);Uba Budo;300;2008;72;U.K.;3.0;Sao Tome;Forastero
Hummingbird;Bolivia;1307;2014;70;Canada;3.0;Bolivia;Criollo, Trinitario
Idilio (Felchlin);Coopertiva Amazona w/ nibs;737;2011;72;Switzerland;4.0;Venezuela;Criollo
iQ Chocolate;black label;943;2012;72;Scotland;3.0;Peru;
K'ul;Maranon, Fortunato No. 4;1852;2016;70;U.S.A.;2.75;Peru;Forastero (Nacional)
L'Amourette;Blend;853;2012;72;U.S.A.;3.0;Peru, Ecuador, Venezuela;Criollo
Lonohana;Haleiwa E, O'ahu, 2014;1395;2014;65;U.S.A.;3.25;Hawaii;
Madre;Kaua'i;995;2012;70;U.S.A.;3.5;Hawaii;
Manoa;Hamakua, Hawaiian Crown, #176;1007;2012;72;U.S.A.;2.75;Hawaii;
Marou;Ben Tre;1650;2015;68;Vietnam;3.5;Vietnam;Trinitario
Marou;Dak Lak, Batch 2451;1650;2015;70;Vietnam;3.75;Vietnam;Trinitario
Na�ve;Barinas;1399;2014;70;Lithuania;3.0;Venezuela;
Neuhaus (Callebaut);West Africa;15;2006;73;Belgium;2.0;West Africa;Forastero
Nova Monda;Punta Galera, cacao Nacional, gold label;935;2012;80;Nicaragua;3.25;Ecuador;Forastero (Nacional)
Nova Monda;La Dalia, Matagalpa,cacao Bisesto,green label;935;2012;75;Niacragua;2.75;Nicaragua;
Ocho;PNG, Nib Bar;1411;2014;74;New Zealand;3.5;Papua New Guinea;
Patric;Madagascar;196;2007;70;U.S.A.;4.0;Madagascar;Trinitario
S.A.I.D.;100 percent;615;2010;100;Italy;1.5;;
Scharffen Berger;Bittersweet;15;2006;70;U.S.A.;3.5;;Blend
Smooth Chocolator, The;Maya Mtn, Moho R., Toledo D.;1756;2016;70;Australia;3.75;Belize;
Smooth Chocolator, The;Papua New Guinea, triple roast, batch 1;1662;2015;65;Australia;3.5;Papua New Guinea;
Smooth Chocolator, The;Maranon, batch 2;1666;2015;67;Australia;3.0;Peru;Forastero (Nacional)
Snake & Butterfly;Madagascar;502;2010;68;U.S.A.;3.0;Madagascar;Trinitario
Soma;Patanemo;1077;2013;70;Canada;3.75;Venezuela;Criollo
Summerbird;Peru;1800;2016;61;Denmark;2.5;Peru;Criollo, Trinitario
Szanto Tibor;Nacional;1668;2015;70;Hungary;3.25;Ecuador;
Vintage Plantations (Tulicorp);Los Rios, Rancho Grande 2004/2007;153;2007;75;U.S.A.;3.0;Ecuador;Forastero (Arriba)
Violet Sky;Cahabon;1502;2015;77;U.S.A.;2.75;Guatemala;Trinitario
Vivra;Dominican Republic;1724;2016;70;U.S.A.;3.0;Domincan Republic;
Zart Pralinen;Kakao Kamili, Kilombero Valley;1824;2016;85;Austria;3.0;Tanzania;Criollo, Trinitario
A. Morin;Piura;1019;2013;70;France;3.25;Peru;
Altus aka Cao Artisan;Bolivia;1129;2013;80;U.S.A.;3.25;Bolivia;
Amano;Madagascar;129;2007;70;U.S.A.;3.5;Madagascar;Trinitario
Ambrosia;Madagascar;1494;2015;66;Canada;3.25;Madagascar;Trinitario
Bellflower;Alto Beni, Palos Blanco;1804;2016;70;U.S.A.;3.25;Bolivia;
Belyzium;Belize south, low fermentation;1768;2016;83;Germany;2.75;Belize;Trinitario
Benoit Nihant;Baracoa;1141;2013;74;Belgium;3.5;Cuba;Trinitario
Bittersweet Origins;Bali, Singaraja;558;2010;65;U.S.A.;2.75;Indonesia;
Bowler Man;Maya Mountain;1267;2014;70;U.S.A.;2.75;Belize;Trinitario
Cacao de Origen;Chuao, Aragua region;1391;2014;75;Venezuela;3.5;Venezuela;Trinitario
Cacao Hunters;Boyaca, Aprocampa Coop, Pauna;1434;2014;69;Colombia;2.75;Colombia;
Cao;Porcelana, Batch 5163;1804;2016;70;U.S.A.;3.0;Venezuela;Criollo
Chocolate Makers;Peru, Awagum bar;1530;2015;80;Amsterdam;3.75;Peru;Criollo
Compania de Chocolate (Salgado);Ocumare;292;2008;70;Argentina;3.75;Venezuela;Criollo
Dark Forest;Ecuador;1554;2015;70;U.S.A.;3.25;Ecuador;
Davis;Venezuela;1093;2013;70;U.S.A.;2.75;Venezuela;
Dick Taylor;Belize;955;2012;72;U.S.A.;2.75;Belize;Trinitario
Domori;Chuao, Hacienda San Jose;470;2010;70;Italy;3.0;Venezuela;Trinitario
Domori;Porcelana;111;2007;70;Italy;4.0;Venezuela;Criollo (Porcelana)
Dormouse;Colombia, Batch 9;1676;2015;80;U.K.;2.75;Colombia;Criollo, Trinitario
Durci;Corona Arriba;1630;2015;70;U.S.A.;4.0;Ecuador;
Emily's;Patanemo;1450;2015;79;Japan;3.0;Venezuela;
Escazu;Rio Caribe;903;2012;70;U.S.A.;2.75;Venezuela;Trinitario
Franceschi;Choroni;1355;2014;70;Venezuela;3.5;Venezuela;
French Broad;Palo Blanco, Chulucanas;1042;2013;66;U.S.A.;3.5;Peru;
Friis Holm (Bonnat);Chuno, double turned, Xoco;899;2012;70;Denmark;3.25;Nicaragua;Criollo, Trinitario
Georgia Ramon;Akesson P.;1642;2015;65;Germany;3.25;Madagascar;Trinitario
Hotel Chocolat (Coppeneur);Mekong Delta & Dong Nai;1038;2013;80;U.K.;3.5;Vietnam;Trinitario
Idilio (Felchlin);Ocumare, H. Cata, w/ nibs;737;2011;72;Switzerland;3.5;Venezuela;Criollo
Just Good Chocolate;Belize;1375;2014;70;U.S.A.;3.5;Belize;Trinitario
Kto;Belize;1422;2014;72;U.S.A.;3.0;Belize;Trinitario
L.A. Burdick (Felchlin);Peru;891;2012;74;U.S.A.;3.25;Peru;
La Maison du Chocolat (Valrhona);Porcelana, Pariguan;346;2009;69;France;3.5;Venezuela;Criollo (Porcelana)
La Oroquidea;Peruvian Amazon;721;2011;72;Peru;2.5;Peru;
Malie Kai (Guittard);O'ahu, N. Shore, Waialua Estate w/ nibs;502;2010;55;U.S.A.;3.5;Hawaii;
Manufaktura Czekolady;Grand Cru Dominican Republic;871;2012;70;Poland;3.25;Dominican Republic;
Marou;Tan Phu Dong, Treasure Island;1149;2013;75;Vietnam;3.5;Vietnam;Trinitario
Matale;Kulili P., 2013;1177;2013;74;Australia;4.0;Papua New Guinea;Trinitario
Mesocacao;La Tronca, Matagalpa;1351;2014;80;Honduras;3.5;Nicaragua;
Michel Cluizel;Carre Grand Noir;24;2006;85;France;2.0;;
Moho;Toledo District, w/ nibs;1026;2013;73;U.S.A.;3.25;Belize;Trinitario
Noble Bean aka Jerjobo;Ghana;1295;2014;75;U.S.A.;3.0;Ghana;Forastero
organicfair;Mindo;1165;2013;72;Canada;3.0;Ecuador;Trinitario
Original Beans (Felchlin);D.R. Congo, Cru Virunga;331;2009;70;Switzerland;3.0;Congo;Forastero
Peppalo;Dominican Republic;1454;2015;82;U.S.A.;3.0;Dominican Republic;
Pitch Dark;Chuno;1510;2015;80;U.S.A.;2.75;Nicaragua;Criollo, Trinitario
Potomac;Oko Caribe, Duarte Province, 2016 H.;1820;2016;70;U.S.A.;3.75;Domincan Republic;
Potomac;Upala w/ nibs;647;2011;70;U.S.A.;3.5;Costa Rica;Matina
Pralus;Sao Tome & Principe;5;2006;75;France;3.5;Sao Tome & Principe;Forastero
Republica del Cacao (aka Confecta);Los Rios, Vinces;439;2009;75;Ecuador;2.5;Ecuador;Forastero (Arriba)
Santander;Colombian 2008;404;2009;75;Colombia;2.75;Colombia;Forastero (Nacional)
Scharffen Berger;Camahogne;464;2010;68;U.S.A.;3.5;Grenada;Trinitario
Scharffen Berger;Antilles (Trin/Gren/DR/Ven);188;2007;75;U.S.A.;3.0;Carribean;Blend
Scharffen Berger;Las Islas;117;2007;72;U.S.A.;3.0;Carribean(DR/Jam/Tri);Blend
Sirene;Pisa;1650;2015;73;Canada;3.25;Haiti;
Sjolinds;Ghana;1454;2015;70;U.S.A.;2.75;Ghana;Forastero
Soma;Maranon Canyon;1259;2014;70;Canada;3.75;Peru;Forastero (Nacional)
Starchild;Sambirano Valley;1696;2015;70;U.S.A.;3.0;Madagascar;Trinitario
Stone Grindz;Ecuador, Midnight Dark;1291;2014;84;U.S.A.;3.5;Ecuador;
Tablette (aka Vanillabeans);Papua;1450;2015;62;Japan;3.25;Papua New Guinea;
Terroir;Madagascar;1323;2014;67;U.S.A.;3.75;Madagascar;Trinitario
Theo;Madagascar;162;2007;65;U.S.A.;3.5;Madagascar;Trinitario
Tobago Estate (Pralus);Roxborough, Tobago;895;2012;70;France;4.0;Tobago;Trinitario
Tocoti;Dominican Republic;789;2011;74;U.S.A.;3.0;Dominican Republic;
Upchurch;Madagascar, Sassy Bar;1752;2016;72;U.S.A.;3.0;Madagascar;Trinitario
Zak's;Dominican Republic, Batch D2;1578;2015;70;U.S.A.;3.25;Domincan Republic;
Adi;Vanua Levu;705;2011;60;Fiji;2.75;Fiji;Trinitario
Amedei;Chuao;111;2007;70;Italy;5.0;Venezuela;Trinitario
Ara;Chiapas;1379;2014;72;France;2.5;Mexico;
Arete;Guatemala;1602;2015;70;U.S.A.;3.25;Guatemala;
Artisan du Chocolat;Peru;363;2009;75;U.K.;3.0;Peru;Criollo
Askinosie;Mababa;1780;2016;68;U.S.A.;3.75;Tanzania;Trinitario
Askinosie;Davao;331;2009;77;U.S.A.;3.75;Philippines;Trinitario
Beehive;Dominican Republic, Batch 31616;1784;2016;70;U.S.A.;2.75;Domincan Republic;
Belcolade;Ecuador;586;2010;71;Belgium;3.5;Ecuador;
Bellflower;Oko Caribe, Duarte P.;1864;2016;70;U.S.A.;3.5;Domincan Republic;
Bittersweet Origins;Sambirano;431;2009;65;U.S.A.;3.5;Madagascar;Trinitario
Bonnat;Haiti;629;2011;75;France;4.0;Haiti;
Bonnat;One Hundred;81;2006;100;France;1.5;;
Breeze Mill;Jamaica;1149;2013;70;U.S.A.;3.0;Jamaica;Trinitario
Cacao Hunters;Macondo;1816;2016;71;Colombia;3.75;Colombia;
Caoni (Tulicorp);Esmeraldas;237;2008;77;Ecuador;2.0;Ecuador;Forastero (Arriba)
